"","duration","protocol_type","service","flag","src_bytes","dst_bytes","land","wrong_fragment","urgent","hot","num_failed_logins","logged_in","num_compromised","root_shell","su_attempted","num_root","num_file_creations","num_shells","num_access_files","num_outbound_cmds","is_host_login","is_guest_login","count","srv_count","serror_rate","srv_serror_rate","rerror_rate","srv_rerror_rate","same_srv_rate","diff_srv_rate","srv_diff_host_rate","dst_host_count","dst_host_srv_count","dst_host_same_srv_rate","dst_host_diff_srv_rate","dst_host_same_src_port_rate","dst_host_srv_diff_host_rate","dst_host_serror_rate","dst_host_srv_serror_rate","dst_host_rerror_rate","dst_host_srv_rerror_rate","class"
"7",0,"tcp","private","S0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,9,1,1,0,0,0.05,0.06,0,255,9,0.04,0.05,0,0,1,1,0,0,"anomaly"
"8",0,"tcp","private","S0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,16,1,1,0,0,0.14,0.06,0,255,15,0.06,0.07,0,0,1,1,0,0,"anomaly"
"16",0,"tcp","netbios_ns","S0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,16,1,1,0,0,0.17,0.05,0,255,2,0.01,0.06,0,0,1,1,0,0,"anomaly"
"19",0,"tcp","http","SF",233,616,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,66,255,1,0,0.02,0.03,0,0,0.02,0,"normal"
"25",0,"tcp","mtp","S0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,2,1,1,0,0,0.01,0.06,0,255,2,0.01,0.06,0,0,1,1,0,0,"anomaly"
"27",0,"tcp","private","S0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,7,1,1,0,0,0.03,0.06,0,255,13,0.05,0.07,0,0,1,1,0,0,"anomaly"
"28",0,"tcp","http","SF",227,6588,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,22,0,0,0,0,1,0,0.18,43,255,1,0,0.02,0.14,0,0,0.56,0.57,"normal"
"35",0,"udp","domain_u","SF",45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,181,0,0,0,0,1,0,0,255,250,0.98,0.01,0,0,0,0,0,0,"normal"
"44",9052,"udp","other","SF",146,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0.5,0.5,0,255,2,0.01,0.66,0.99,0,0,0,0,0,"normal"
"45",0,"tcp","http","SF",290,3006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,"normal"
"47",0,"udp","private","SF",28,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80,0,0,0,0,1,0,0,255,80,0.31,0.02,0.31,0,0,0,0,0,"anomaly"
"49",0,"tcp","ftp_data","SF",334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,4,38,1,0,1,0.18,0,0,0,0,"anomaly"
"55",0,"udp","domain_u","SF",43,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,120,0,0,0,0,1,0,0,255,245,0.96,0.01,0.01,0,0,0,0,0,"normal"
"57",0,"icmp","eco_i","SF",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,1,0,1,2,46,1,0,1,0.26,0,0,0,0,"anomaly"
"61",0,"tcp","ftp_data","SF",641,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,175,48,0.25,0.02,0.25,0.04,0,0,0,0,"normal"
"62",0,"tcp","private","REJ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,4,0,0,1,1,0.02,0.06,0,255,4,0.02,0.08,0,0,0,0,1,1,"anomaly"
"63",0,"tcp","private","REJ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,1,0.1,0,0.89,1,0.01,1,0,255,1,0,0.84,0,0,0.07,0,0.62,1,"anomaly"
"67",0,"tcp","netbios_dgm","RSTR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,236,1,0,0.58,0.58,0,0,0,0.58,1,"anomaly"
"68",0,"tcp","http","S0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,19,1,1,0,0,0.37,0.08,0,255,67,0.26,0.02,0,0,1,1,0,0,"anomaly"
"70",0,"tcp","supdup","S0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,21,1,1,0,0,0.12,0.06,0,255,21,0.08,0.06,0,0,1,1,0,0,"anomaly"
"71",0,"tcp","http","SF",221,2878,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,21,58,1,0,0.05,0.03,0,0,0,0,"normal"
"73",0,"icmp","urp_i","SF",181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0.67,0.67,0,255,93,0.36,0.01,0.46,0,0,0,0,0,"normal"
"75",0,"tcp","private","S0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,6,1,1,0,0,0.04,0.06,0,255,6,0.02,0.07,0,0,1,1,0,0,"anomaly"
"82",0,"tcp","uucp_path","REJ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,7,0,0,1,1,0.05,0.07,0,255,7,0.03,0.07,0,0,0,0,1,1,"anomaly"
"83",0,"tcp","domain","S0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,19,1,1,0,0,0.09,0.05,0,255,2,0.01,0.07,0,0,1,1,0,0,"anomaly"
"89",0,"tcp","private","REJ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,15,0,0,1,1,0.11,0.05,0,255,15,0.06,0.06,0,0,0,0,1,1,"anomaly"
"95",0,"tcp","csnet_ns","S0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,6,1,1,0,0,0.02,0.06,0,255,3,0.01,0.07,0,0,1,1,0,0,"anomaly"
"98",0,"tcp","http","SF",259,750,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,1,0,0.4,4,255,1,0,0.25,0.03,0,0,0,0,"normal"
"99",1082,"udp","other","SF",147,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,255,2,0.01,0.42,0.86,0,0,0,0,0,"normal"
"100",0,"tcp","private","S0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,16,1,1,0,0,0.12,0.05,0,255,12,0.05,0.05,0,0,1,1,0,0,"anomaly"
"105",0,"udp","private","SF",28,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,82,0,0,0,0,1,0,0,255,182,0.71,0.29,0.71,0,0.09,0,0.2,0,"anomaly"
